id,name,category,price,description,sales,shop_name,url
1,真无线降噪蓝牙耳机,数码,199.0,蓝牙5.3，主动降噪，30小时续航，IPX7防水,5200,小米官方旗舰店,
2,2024夏季纯棉T恤男,男装,49.9,100%纯棉，多色可选，透气亲肤，简约百搭,3400,优衣库官方店,
3,苹果iPhone15 Pro,手机,7999.0,A17 Pro芯片，钛金属边框，4800万像素，灵动岛,1890,Apple官方旗舰店,
4,家用全自动咖啡机,家电,899.0,20bar高压萃取，一键卡布奇诺，可拆卸水箱,2100,德龙电器旗舰店,
5,运动跑步鞋女,女鞋,159.0,网面透气，轻便缓震，防滑耐磨，多色可选,6700,安踏官方店,
6,大容量充电宝20000mAh,数码,89.0,双向快充，数显电量，可上飞机，轻薄便携,9800,罗马仕旗舰店,
7,儿童积木玩具益智,母婴,129.0,大颗粒积木，环保材质，兼容乐高，培养创造力,3100,乐高官方旗舰店,
8,不锈钢不粘锅炒锅,厨具,79.0,无涂层，轻烟不粘，燃气电磁炉通用,4200,苏泊尔官方店,
9,男士电动剃须刀,个护,159.0,浮动三刀头，Type-C充电，全身水洗，续航60分钟,5600,飞科官方旗舰店,
10,便携折叠户外桌椅,运动户外,129.0,铝合金桌面，牛津布椅，承重150kg，收纳方便,1950,探险者户外旗舰店,
11,妙界R3至尊版肩颈按摩仪,个护,404.0,揉捏脖子腰背部颈椎按摩器斜方肌热敷披肩,1950,妙界旗舰店,
14,亚朵星球深睡枕PRO深睡入门款 护颈慢回弹记忆绵成人枕头枕芯,记忆枕,0.0,"核心卖点：护颈设计，慢回弹记忆绵，深睡入门款，提升睡眠质量。
商品特性：采用记忆绵材质，具备慢回弹特性，能根据头颈曲线自适应支撑；规格为标准成人枕，适合大多数睡姿。
适用人群：需要改善睡眠质量、颈椎不适的成年人，尤其适合初次尝试记忆枕的用户。
产品特点：相比普通枕头，亚朵星球深睡枕PRO通过慢回弹技术减少压力点，提供均匀承托；深睡入门款定位入门级，性价比高，适合作为护颈枕的初次选择。",0,亚朵星球京东自营旗舰店,https://img14.360buyimg.com/n1/s720x720_jfs/t1/448440/22/13579/60759/6a2fac74F8fbe6b80/0083320320335184.jpg
15,LULULAM LULU露露托特包2025女大容量文艺新款百搭单肩休闲时尚简约通勤包,女包/托特包,2.0,"核心卖点：
- 大容量设计，满足日常通勤与出行收纳需求
- 文艺简约风格，百搭各类休闲与时尚穿搭
- 单肩款轻松背负，解放双手，实用便捷

商品特性：
- 材质：未明确标注，推测为耐磨织物或人造革（需以实物为准）
- 规格：托特包型，主仓可容纳A4文件、平板等物品
- 功能：休闲、通勤、购物多场景适用
- 颜色：黑色（页面有选黑色选项）

适用人群：
- 喜欢文艺简约风格的年轻女性
- 需要大容量包袋用于通勤、上学、逛街的用户
- 追求百搭与实用性的日常穿搭人群

产品特点：
- 2025年新款设计，兼顾时尚与实用性
- 相较于同类托特包，更强调文艺调性与简约线条
- 品牌LULULAM专注箱包设计，口碑良好（店铺评分3.5分，用户评价中评）",0,小露家工作室,https://m.360buyimg.com/mobilecms/s750x750_jfs/t1/377601/21/20000/86728/6950da52F084a15a6/b059624054f849a2.png!q80.dpg
